,Feature,importance
50,50,0.0011730937
215,215,0.0011646528
223,223,0.0011577286
283,283,0.0011575795
547,547,0.0011534387
141,141,0.001151182
538,538,0.0011480604
162,162,0.001137783
164,164,0.0011363884
272,272,0.0011325065
487,487,0.0011314232
329,329,0.0011248296
349,349,0.0011210992
401,401,0.0011204887
442,442,0.001110688
574,574,0.0011077392
175,175,0.0010962769
495,495,0.0010798158
275,275,0.0010578316
112,112,0.0010500064
540,540,0.0010497927
339,339,0.0010436965
395,395,0.0010395428
171,171,0.0010360547
450,450,0.0010318899
36,36,0.001021044
228,228,0.0010175819
388,388,0.0010168726
278,278,0.0010166849
309,309,0.0010134105
302,302,0.0010123724
486,486,0.001012065
543,543,0.0010116448
387,387,0.0010075992
306,306,0.0010073769
553,553,0.0010041046
43,43,0.0010030102
277,277,0.0009999853
212,212,0.0009922985
263,263,0.0009800749
541,541,0.0009783733
326,326,0.0009770972
476,476,0.00097560463
591,591,0.00097558694
496,496,0.0009744181
386,386,0.0009735202
501,501,0.0009617031
356,356,0.0009600015
440,440,0.0009521192
544,544,0.0009464976
434,434,0.0009460609
219,219,0.0009425056
270,270,0.00093282235
492,492,0.0009274558
258,258,0.0009257261
217,217,0.0009256581
182,182,0.0009253531
526,526,0.0009250831
414,414,0.0009183358
416,416,0.0009162558
170,170,0.00091051665
369,369,0.00090615085
163,163,0.00090613
366,366,0.00090121495
246,246,0.0008995275
285,285,0.00089815
222,222,0.00088644796
297,297,0.000881948
299,299,0.0008792995
568,568,0.0008739573
284,284,0.00087328214
588,588,0.0008713649
398,398,0.0008677693
93,93,0.00086646277
149,149,0.00086627895
441,441,0.00086496235
466,466,0.0008635001
334,334,0.0008491355
406,406,0.00084799685
524,524,0.0008452282
281,281,0.0008348201
140,140,0.00082696456
287,287,0.0008215456
411,411,0.00081728725
379,379,0.00081183744
614,614,0.00080478884
46,46,0.00079217524
443,443,0.0007888755
276,276,0.0007751204
493,493,0.0007719606
316,316,0.0007664187
517,517,0.0007641934
353,353,0.0007595413
225,225,0.00075776206
514,514,0.00075774454
160,160,0.000757155
254,254,0.00074564037
30,30,0.00073474855
37,37,0.0007334211
101,101,0.00072925136
157,157,0.0007256395
84,84,0.00072439207
585,585,0.00072413863
531,531,0.0007227422
603,603,0.00071914104
502,502,0.00071683223
251,251,0.0007142433
194,194,0.0007138915
142,142,0.0007095357
463,463,0.0007028565
343,343,0.000701635
322,322,0.00069542986
199,199,0.0006903093
582,582,0.00068425917
361,361,0.00067956274
464,464,0.000672561
396,396,0.00067223655
197,197,0.0006722091
533,533,0.00067001546
549,549,0.00066991756
460,460,0.0006618441
433,433,0.0006559362
560,560,0.00065302715
151,151,0.0006527785
85,85,0.0006496664
45,45,0.0006490815
397,397,0.00064802665
39,39,0.0006476295
347,347,0.00064708566
143,143,0.00064572715
190,190,0.000641451
452,452,0.00063903176
159,159,0.0006385093
32,32,0.0006377425
412,412,0.0006372106
243,243,0.00063517207
467,467,0.0006303856
342,342,0.00062634936
38,38,0.00062304956
592,592,0.0006129827
344,344,0.0006029467
