,Feature,importance
329,329,0.0011417995
182,182,0.0011417883
522,522,0.0011397719
181,181,0.0011389259
601,601,0.0011358523
438,438,0.0011343092
242,242,0.001122446
405,405,0.0011217105
158,158,0.0011206002
495,495,0.00111873
387,387,0.0011105638
33,33,0.0011100901
540,540,0.0011094037
93,93,0.0011020701
338,338,0.0011002347
413,413,0.0011002297
36,36,0.0010998409
501,501,0.001097181
547,547,0.0010958064
399,399,0.0010953122
223,223,0.0010919841
352,352,0.0010891472
600,600,0.0010868745
279,279,0.0010834727
227,227,0.0010816422
263,263,0.0010811018
285,285,0.0010792135
403,403,0.0010791671
32,32,0.0010744068
454,454,0.00107131
170,170,0.0010631572
49,49,0.0010603598
395,395,0.0010579072
388,388,0.0010572557
141,141,0.0010549364
232,232,0.0010512877
375,375,0.0010434606
592,592,0.0010421816
530,530,0.0010359662
216,216,0.0010302801
568,568,0.0010276851
485,485,0.0010178054
379,379,0.0010167303
284,284,0.0010139615
616,616,0.0010122343
247,247,0.0010100765
312,312,0.0010045703
42,42,0.0010028624
483,483,0.0009965093
458,458,0.00098937
179,179,0.0009878349
266,266,0.0009844626
41,41,0.0009765812
225,225,0.0009756934
87,87,0.00097452616
354,354,0.0009717918
171,171,0.00096831756
114,114,0.00096424896
610,610,0.0009595759
491,491,0.00095945306
219,219,0.0009537745
298,298,0.0009522308
595,595,0.0009520233
582,582,0.00095145963
145,145,0.00094947556
394,394,0.00094926247
441,441,0.0009466096
550,550,0.00094535196
326,326,0.00092939596
521,521,0.00092637027
193,193,0.00092440966
414,414,0.0009204748
496,496,0.00092032464
544,544,0.0009198692
339,339,0.00091909425
200,200,0.00091249053
493,493,0.0009050535
85,85,0.00090424146
152,152,0.00090411515
107,107,0.0009012142
465,465,0.0009003258
147,147,0.0008951328
420,420,0.0008920515
209,209,0.00088987476
105,105,0.00087966985
533,533,0.00087664736
283,283,0.00087325287
361,361,0.0008725007
360,360,0.00085415196
281,281,0.00084833096
231,231,0.0008443532
189,189,0.0008438231
334,334,0.0008418
398,398,0.00083778804
255,255,0.0008300061
218,218,0.00082640693
541,541,0.00082433486
217,217,0.00081974233
517,517,0.0008081299
433,433,0.0008020715
233,233,0.000797943
407,407,0.0007972681
101,101,0.0007966605
178,178,0.0007935268
297,297,0.00078801607
276,276,0.0007855035
353,353,0.0007846844
368,368,0.00078232336
487,487,0.0007777037
620,620,0.0007747811
37,37,0.0007733328
585,585,0.000772153
29,29,0.0007453282
46,46,0.0007451058
463,463,0.00074419065
531,531,0.00073887914
249,249,0.00073308055
520,520,0.00073248
190,190,0.00072378997
443,443,0.00071761955
45,45,0.0007134731
434,434,0.00071204297
50,50,0.0007105073
372,372,0.00070454396
253,253,0.00069008436
466,466,0.000689868
342,342,0.00068912556
514,514,0.0006880456
299,299,0.0006874804
385,385,0.00068609096
