,Feature,importance
440,440,0.00082320726
326,326,0.000820444
299,299,0.0008170263
456,456,0.0008153759
395,395,0.00081127544
224,224,0.0008098325
432,432,0.00080913625
368,368,0.00080895884
246,246,0.0008038088
36,36,0.00080318336
607,607,0.0007909387
218,218,0.00078713184
38,38,0.000782059
112,112,0.0007756442
548,548,0.0007739559
369,369,0.000769861
480,480,0.0007695654
115,115,0.00076886907
567,567,0.0007687053
139,139,0.0007567698
142,142,0.00075655617
275,275,0.0007535516
513,513,0.00074936665
162,162,0.00074474566
93,93,0.00074161316
439,439,0.00073827454
179,179,0.0007354023
248,248,0.000733994
241,241,0.0007285853
577,577,0.00072768365
425,425,0.0007275601
421,421,0.00072364026
152,152,0.00072114874
30,30,0.00071720406
261,261,0.0007150549
387,387,0.00071282
507,507,0.00071140175
532,532,0.00070890435
443,443,0.0007080833
611,611,0.00070097373
601,601,0.00069372915
591,591,0.0006871873
51,51,0.00068344094
212,212,0.0006821602
252,252,0.0006800536
495,495,0.0006778854
92,92,0.00067781593
346,346,0.00067758304
437,437,0.00067401375
502,502,0.00067398424
209,209,0.00067355845
345,345,0.00067124725
182,182,0.00066953077
173,173,0.00066640705
523,523,0.0006645181
202,202,0.0006590675
227,227,0.00065848464
339,339,0.0006582311
434,434,0.0006571124
191,191,0.00065692555
315,315,0.0006565776
219,219,0.00065214525
304,304,0.0006515289
575,575,0.0006510842
160,160,0.0006508387
95,95,0.0006486112
556,556,0.0006481001
472,472,0.0006469679
530,530,0.0006419434
416,416,0.0006399477
228,228,0.0006385467
277,277,0.00063627237
327,327,0.00063456944
475,475,0.00063282915
484,484,0.0006295655
329,329,0.0006273025
500,500,0.00062137464
465,465,0.0006210116
547,547,0.00061613345
178,178,0.0006125427
207,207,0.0006094164
393,393,0.000608594
358,358,0.0006059828
226,226,0.00060575025
414,414,0.0006053621
343,343,0.0006027871
110,110,0.0006002686
581,581,0.0005992068
200,200,0.0005973791
551,551,0.0005908633
568,568,0.0005905583
370,370,0.0005861743
313,313,0.00057886884
163,163,0.00057147426
171,171,0.0005667016
262,262,0.00056603365
586,586,0.0005630602
278,278,0.0005563206
276,276,0.00055362965
296,296,0.00055176974
559,559,0.00055164396
362,362,0.000551224
281,281,0.00054786506
540,540,0.00054744876
573,573,0.00054523064
351,351,0.00054503186
388,388,0.00054460927
267,267,0.00054149114
325,325,0.0005387776
27,27,0.000537384
335,335,0.0005367958
466,466,0.0005354282
330,330,0.0005354245
216,216,0.0005347522
394,394,0.0005305752
357,357,0.0005300427
520,520,0.0005253191
582,582,0.0005197527
542,542,0.0005195066
136,136,0.000518237
544,544,0.00051699893
445,445,0.0005123878
210,210,0.0005060821
515,515,0.00050480355
140,140,0.0004992555
297,297,0.00049554877
217,217,0.00049517927
265,265,0.00048970734
454,454,0.0004885897
46,46,0.0004885434
406,406,0.00048523655
317,317,0.00048224264
612,612,0.00048167259
138,138,0.00047041723
412,412,0.00046797356
290,290,0.00046637823
498,498,0.00046570407
367,367,0.00046307803
603,603,0.00046261953
558,558,0.00045712496
172,172,0.00045339737
467,467,0.00045127037
170,170,0.0004505546
316,316,0.0004484879
158,158,0.00044425757
372,372,0.00043552092
254,254,0.00043277224
371,371,0.00043223271
33,33,0.00043010042
43,43,0.0004284603
493,493,0.00042730593
336,336,0.00041985136
451,451,0.00041824367
587,587,0.00041709276
169,169,0.0004163153
569,569,0.0004137788
452,452,0.00041149737
436,436,0.00041138488
83,83,0.00040882308
604,604,0.00040753954
620,620,0.0004051857
85,85,0.0004049206
585,585,0.00040369437
237,237,0.00040192617
235,235,0.00040102727
489,489,0.00040074938
105,105,0.00040019143
266,266,0.0003953959
350,350,0.00039519335
488,488,0.0003916902
423,423,0.00038953807
258,258,0.00038688854
35,35,0.0003849161
598,598,0.00038489405
415,415,0.00038404792
460,460,0.00038195617
396,396,0.0003817609
287,287,0.00037788492
483,483,0.0003748579
550,550,0.0003727596
211,211,0.00036914748
424,424,0.00036274077
353,353,0.00036270125
253,253,0.00036199734
430,430,0.00036072402
306,306,0.0003581747
458,458,0.00035665694
385,385,0.00035500334
225,225,0.00035275103
541,541,0.00035252504
32,32,0.00035101429
146,146,0.00034821458
407,407,0.0003467757
504,504,0.00034667065
45,45,0.00034631765
244,244,0.00034320174
531,531,0.00034251984
613,613,0.00034020573
461,461,0.00033581586
348,348,0.00033567564
164,164,0.00032911668
479,479,0.00032778757
524,524,0.00032699594
271,271,0.00032617088
470,470,0.00032440684
600,600,0.00032355572
91,91,0.00032263747
102,102,0.00031197417
584,584,0.00030847357
442,442,0.0003036317
533,533,0.00029783064
190,190,0.00029101633
596,596,0.0002905415
286,286,0.00028633085
198,198,0.0002849882
397,397,0.00028415382
90,90,0.00028262648
342,342,0.00028091777
285,285,0.00028083142
113,113,0.00028008095
352,352,0.00027807194
560,560,0.00027465282
44,44,0.0002739546
250,250,0.00026859084
303,303,0.0002671133
236,236,0.00026526986
497,497,0.0002622415
298,298,0.0002619321
289,289,0.0002606319
215,215,0.00025845168
578,578,0.0002544807
28,28,0.00024893918
88,88,0.00024683407
192,192,0.00023755552
595,595,0.00023745035
553,553,0.00023606379
360,360,0.00023215446
344,344,0.00023196345
39,39,0.00023164865
302,302,0.00022603519
104,104,0.00022393068
268,268,0.0002183784
405,405,0.00021363185
334,334,0.0002113429
321,321,0.00020893468
614,614,0.00020689525
195,195,0.00020538921
402,402,0.00019234122
411,411,0.00018824423
97,97,0.0001813284
87,87,0.00017765889
476,476,0.00017603047
375,375,0.0001749301
48,48,0.00017459482
29,29,0.00017421211
505,505,0.00016652308
455,455,0.00014819152
137,137,0.00014226606
107,107,0.00013859897
242,242,0.00013817796
361,361,0.00012790509
6,6,0.00011608708
122,122,0.000112168906
49,49,9.54683e-05
188,188,9.142413e-05
131,131,8.792162e-05
96,96,7.5997275e-05
617,617,6.934785e-05
84,84,6.7126806e-05
159,159,5.8754933e-05
605,605,5.058579e-05
98,98,3.47467e-05
156,156,3.0149096e-05
106,106,2.8093435e-05
63,63,2.5659647e-05
619,619,2.3880466e-05
147,147,1.9460735e-05
130,130,1.7337128e-05
103,103,9.875386e-06
111,111,4.6516243e-06
68,68,1.7694414e-06
57,57,6.776701e-08
2,2,0.0
645,645,0.0
3,3,0.0
646,646,0.0
80,80,0.0
621,621,0.0
637,637,0.0
622,622,0.0
641,641,0.0
636,636,0.0
635,635,0.0
634,634,0.0
639,639,0.0
633,633,0.0
632,632,0.0
631,631,0.0
630,630,0.0
640,640,0.0
642,642,0.0
638,638,0.0
629,629,0.0
643,643,0.0
644,644,0.0
628,628,0.0
79,79,0.0
627,627,0.0
626,626,0.0
625,625,0.0
624,624,0.0
623,623,0.0
13,13,0.0
78,78,0.0
77,77,0.0
26,26,0.0
25,25,0.0
8,8,0.0
24,24,0.0
9,9,0.0
10,10,0.0
23,23,0.0
22,22,0.0
21,21,0.0
11,11,0.0
12,12,0.0
20,20,0.0
19,19,0.0
18,18,0.0
17,17,0.0
16,16,0.0
15,15,0.0
1,1,0.0
55,55,0.0
58,58,0.0
70,70,0.0
76,76,0.0
75,75,0.0
4,4,0.0
73,73,0.0
14,14,0.0
72,72,0.0
71,71,0.0
69,69,0.0
59,59,0.0
5,5,0.0
67,67,0.0
64,64,0.0
62,62,0.0
61,61,0.0
60,60,0.0
7,7,0.0
647,647,0.0
