,Feature,importance
0,0,0.027533712
1,1,0.0
2,2,0.0
3,3,0.0
4,4,0.0
5,5,0.0
6,6,2.4594488e-07
7,7,0.0
8,8,0.0
9,9,3.5314596e-07
10,10,0.0
11,11,0.0
12,12,0.0
13,13,0.0
14,14,0.0
15,15,0.0
16,16,0.0
17,17,0.0
18,18,0.0
19,19,0.0
20,20,0.0
21,21,0.0
22,22,0.0
23,23,0.0
24,24,0.0
25,25,0.0
26,26,0.0
27,27,0.00013166269
28,28,7.073422e-05
29,29,6.324362e-05
30,30,0.00014189222
31,31,0.00022952886
32,32,0.00030948408
33,33,0.00015918277
34,34,8.705781e-05
35,35,0.0006391869
36,36,9.215009e-05
37,37,5.8796337e-05
38,38,8.5539665e-05
39,39,0.00026972088
40,40,0.0001588243
41,41,0.00017059437
42,42,0.00013733038
43,43,0.0001501853
44,44,0.00027785997
45,45,0.00021657765
46,46,0.00030224342
47,47,8.140677e-05
48,48,0.00024355824
49,49,1.8388308e-05
50,50,0.0006122295
51,51,0.00013551608
52,52,0.00010210156
53,53,0.00040763943
54,54,0.0
55,55,0.0
56,56,0.0016316536
57,57,4.7109216e-07
58,58,0.0
59,59,0.0
60,60,0.0
61,61,0.0024972747
62,62,0.0
63,63,0.0
64,64,0.0
65,65,0.0013415798
66,66,2.1746973e-09
67,67,0.0
68,68,0.012301365
69,69,0.0
70,70,0.0
71,71,0.0
72,72,0.047944814
73,73,0.0
74,74,0.0004901038
75,75,0.046410378
76,76,0.10601881
77,77,0.20039213
78,78,0.0
79,79,0.42586166
80,80,4.5191203e-07
81,81,0.00030580634
82,82,2.4993982e-05
83,83,8.454899e-05
84,84,3.9583552e-05
85,85,5.6949313e-05
86,86,0.001121167
87,87,9.228868e-06
88,88,3.517429e-06
89,89,0.00015641365
90,90,0.00045689908
91,91,9.9241624e-05
92,92,4.4783104e-05
93,93,0.0003448056
94,94,0.00016258683
95,95,5.6710585e-05
96,96,0.00070876384
97,97,0.0001611114
98,98,0.001102531
99,99,0.00010068517
100,100,0.00020959949
101,101,5.366263e-05
102,102,1.8289997e-05
103,103,2.3520785e-07
104,104,0.0016550027
105,105,1.3934038e-05
106,106,0.00053075614
107,107,0.00052005134
108,108,0.00014870884
109,109,7.760979e-05
110,110,0.0002126881
111,111,3.8165937e-09
112,112,0.00016148563
113,113,3.9519815e-05
114,114,0.00012373387
115,115,0.00011380663
116,116,5.3539865e-05
117,117,0.00020819198
118,118,0.00022632492
119,119,0.00025221394
120,120,0.0
121,121,0.00015475467
122,122,1.7809065e-05
123,123,0.00020934401
124,124,0.00022837998
125,125,0.00020984076
126,126,0.0020268606
127,127,0.0005024324
128,128,0.0005921211
129,129,2.7617207e-05
130,130,0.0
131,131,5.1332872e-06
132,132,0.0009847342
133,133,0.0001407148
134,134,0.0002950496
135,135,5.07565e-05
136,136,7.363196e-06
137,137,9.295662e-05
138,138,4.9215834e-07
139,139,6.688062e-05
140,140,4.603244e-05
141,141,7.819038e-06
142,142,9.34688e-05
143,143,0.0005009843
144,144,0.00050042913
145,145,5.005116e-06
146,146,2.9803867e-05
147,147,4.4038848e-06
148,148,0.00018728404
149,149,8.8938745e-05
150,150,5.4648594e-05
151,151,0.00017877534
152,152,0.00026776278
153,153,0.0009049505
154,154,0.00060322526
155,155,0.0016109538
156,156,0.0
157,157,9.542044e-07
158,158,0.00028526632
159,159,4.083789e-05
160,160,0.0002834209
161,161,7.163242e-05
162,162,0.00019315328
163,163,0.00010485841
164,164,0.00024349918
165,165,0.00010075133
166,166,8.629384e-05
167,167,7.716932e-05
168,168,0.00019375516
169,169,9.095828e-05
